8
0.6 0.4 0.8 1 0.2 0.2 0.5 0.7
147 sawtooth
1 2.1166666666666667 0
-9 0.4 0.5
1 0.42777777777777776 0
-7 0.4166666666666667 0.5124674733385227
1 0.42777777777777776 0
-14 0.25 0.5247403959254523
1 0.25555555555555554 0
-7 0.4 0.5366272529086048
1 0.37222222222222223 0
-5 0.35 0.5479425538604203
1 0.4777777777777778 0
-2 0.08888888888888889 0.5585097272940462
1 0.03333333333333333 0
-4 0.10555555555555556 0.5681638760023334
1 0.022222222222222223 0
-5 0.1 0.5767543502236028
1 0.027777777777777776 0
-7 0.08333333333333333 0.5841470984807897
1 0.06666666666666667 0
-9 0.2722222222222222 0.5902267594099095
1 0.5111111111111111 0
-7 0.3 0.5948984619355586
1 0.5388888888888889 0
-14 0.23333333333333334 0.5980893057023156
1 0.5277777777777778 0
-14 0.12777777777777777 0.5997494986604055
1 0.14444444444444443 0
-12 0.1111111111111111 0.5998531340539832
1 0.14444444444444443 0
-9 0.12222222222222222 0.5983985946873938
1 0.15 0
-9 0.16111111111111112 0.5954085781609694
1 0.1 0
-12 0.11666666666666667 0.5909297426825681
1 0.16666666666666666 0
-9 0.11666666666666667 0.5850319789818452
1 0.13333333333333333 0
-12 0.12222222222222222 0.5778073196887921
1 0.15555555555555556 0
-9 0.3 0.5693685031953272
1 0.4166666666666667 0
-7 0.3111111111111111 0.5598472144103956
1 0.6 0
-14 0.18888888888888888 0.5493920298610089
1 0.29444444444444445 0
-7 0.2777777777777778 0.5381660992052332
1 0.5277777777777778 0
-5 0.25 0.526344599336342
1 0.5777777777777777 0
-2 0.1 0.5141120008059867
1 0.005555555555555556 0
-4 0.12777777777777777 0.5016591892229348
1 0.005555555555555556 0
-5 0.1 0.48918048654698915
1 0.016666666666666666 0
-7 0.12777777777777777 0.4768706187597978
1 0.05 0
-9 0.22777777777777777 0.464921677231038
1 0.5555555555555556 0
-7 0.23333333333333334 0.4535201211968391
1 0.6 0
-14 0.2111111111111111 0.4428438681257656
1 0.28888888888888886 0
-7 0.2222222222222222 0.4330595173762264
1 0.5944444444444444 0
-5 0.21666666666666667 0.42431975046920717
1 0.5666666666666667 0
-2 0.1111111111111111 0.41676094854420126
-4 0.13333333333333333 0.41050106417714166
1 0.005555555555555556 0
-5 0.12777777777777777 0.40563778076990376
1 0.016666666666666666 0
-7 0.09444444444444444 0.4022469882334903
1 0.05555555555555555 0
-9 0.39444444444444443 0.40038159875135204
1 0.35 0
-7 0.34444444444444444 0.4000707211024622
1 0.5444444444444444 0
-14 0.23333333333333334 0.4013192064285559
1 0.25555555555555554 0
-7 0.2388888888888889 0.4041075725336861
1 0.5611111111111111 0
-5 0.22777777777777777 0.40839230789737563
1 0.55 0
-2 0.1 0.4141065506573408
1 0.016666666666666666 0
-4 0.1111111111111111 0.42116113196649035
1 0.027777777777777776 0
-5 0.12222222222222222 0.4294459674429608
1 0.011111111111111112 0
-7 0.12777777777777777 0.4388317750000768
1 0.05555555555555555 0
-9 0.25555555555555554 0.44917209225007415
1 0.5222222222222223 0
-7 0.23333333333333334 0.4603055620006753
1 0.5777777777777777 0
-14 0.23333333333333334 0.4720584501801074
1 0.5333333333333333 0
-14 0.14444444444444443 0.4842473568991857
1 0.14444444444444443 0
-12 0.11666666666666667 0.4966820783452443
1 0.1388888888888889 0
-9 0.09444444444444444 0.5091685748490178
1 0.18333333333333332 0
-9 0.12222222222222222 0.5215119988087815
1 0.14444444444444443 0
-12 0.11666666666666667 0.5335197352220086
1 0.15 0
-9 0.11666666666666667 0.5450044073780618
1 0.15 0
-12 0.1111111111111111 0.555786800809094
1 0.17777777777777778 0
-9 0.18888888888888888 0.565698659871879
1 0.5944444444444444 0
-7 0.2 0.5745853133208487
1 0.65 0
-14 0.18888888888888888 0.5823080879011505
1 0.28888888888888886 0
-7 0.2111111111111111 0.5887464722984075
1 0.5722222222222222 0
-5 0.21666666666666667 0.5937999976774739
1 0.5722222222222222 0
-2 0.11666666666666667 0.5973898054650046
-4 0.12222222222222222 0.5994598779111177
-5 0.12222222222222222 0.599977912227645
1 0.016666666666666666 0
-7 0.12222222222222222 0.5989358246623382
1 0.05555555555555555 0
-9 0.17777777777777778 0.5963498766431188
1 0.6277777777777778 0
-7 0.22777777777777777 0.5922604210239341
1 0.5944444444444444 0
-14 0.22777777777777777 0.5867312723919673
1 0.5388888888888889 0
-14 0.2111111111111111 0.579848711262349
1 0.044444444444444446 0
-12 0.14444444444444443 0.5717201376995745
1 0.11666666666666667 0
