1
1

88 sine
0 0.1 1
0 0.1 0
0 0.1 1
0 0.1 0
0 0.1 1
0 0.1 0
0 0.3 1
0 0.3 0

0 0.1 1
0 0.1 0
0 0.1 1
0 0.3 0

0 0.1 1
0 0.1 0
0 0.1 1
0 0.1 0
0 0.1 1
0 0.1 0
0 0.3 1
0 0.3 0

0 0.1 1
0 0.7 0


0 0.1 1
0 0.1 0
0 0.3 1
0 0.1 0
0 0.1 1
0 0.1 0
0 0.1 1
0 0.7 0



0 0.1 1
0 0.1 0
0 0.1 1
0 0.3 0

0 0.3 1
0 0.1 0
0 0.1 1
0 0.3 0

0 0.1 1
0 0.1 0
0 0.1 1
0 0.1 0
0 0.3 1
0 0.1 0
0 0.1 1
0 0.3 0

0 0.3 1
0 0.1 0
0 0.3 1
0 0.1 0
0 0.3 1
0 0.3 0

0 0.1 1
0 0.1 0
0 0.3 1
0 0.1 0
0 0.1 1
0 0.3 0

0 0.3 1
0 0.1 0
0 0.3 1
0 0.3 0

0 0.1 1
0 0.1 0
0 0.3 1
0 0.3 0

0 0.3 1
0 0.3 0

0 0.1 1
0 0.1 0
0 0.1 1
0 0.3 0

0 0.3 1
0 0.1 0
0 0.3 1
0 0.1 0
0 0.1 1
0 0.1 0
0 0.3 1
0 0.3 0

0 0.1 1
0 0.1 0
0 0.1 1
0 0.1 0
0 0.3 1
0 0.3 0

0 0.1 1
0 1 0
