message,mesaZ
meilleur,mEj9R
mer,mER
rêve,REv
effet,efE
vie,vi
froid,fRwa
sorte,sORt
cadeau,kado
bordel,bORdEl
doute,dut
occuper,okype
oeil,9j
vraiment,vREm@
scène,sEn
finir,finiR
carte,kaRt
pourtant,puRt@
pareil,paREj
joli,Zoli
soirée,swaRe
armée,aRme
chacun,Sak1
coin,kw5
triste,tRist
comment,kom@
gagner,gaNe
commencer,kom@se
agent,aZ@
rendez-vous,R@devu
exemple,Egz@pl
debout,d°bu
peut-être,p2tEtR
faux,fo
normal,nORmal
aimer,eme
groupe,gRup
professeur,pRofEs9R
carrément,kaRem@
cheminée,S°mine
briquet,bRikE
quête,kEt
allonger,al§Ze
eux-mêmes,2mEm
pressé,pRese
caporal,kapoRal
morgue,mORg
soie,swa
augmenter,ogm@te
chantier,S@tje
k,ka
parier,paRje
syndicat,s5dika
trottoir,tRotwaR
réagir,ReaZiR
académie,akademi
balcon,balk§
lire,liR
allée,ale
aspect,aspE
séparation,sepaRasj§
panneau,pano
attacher,ataSe
gant,g@
échanger,eS@Ze
draguer,dRage
mouchoir,muSwaR
dénoncer,den§se
fixe,fiks
vase,vaz
complot,k§plo
intervenir,5tERv°niR
philosophie,filozofi
bracelet,bRas°lE
chanteur,S@t9R
légal,legal
quelconque,kElk§k
appuyer,ap8ije
coincer,kw5se
attrape,atRap
soudain,sud5
parrain,paR5
ressentir,R°s@tiR
toilette,twalEt
funérailles,fyneRaj
mars,maRs
señor,seNOR
création,kReasj§
final,final
hall,ol
troupeau,tRupo
éclat,ekla
exceptionnel,EksEpsjonEl
dit,di
bétail,betaj
commettre,komEtR
positif,pozitif
espagnol,EspaNOl
sucer,syse
facteur,fakt9R
déposition,depozisj§
humble,1bl
industrie,5dystRi
terrasse,tERas
évacuer,evak8e
afin que,af5k
candidat,k@dida
conflit,k§fli
rencard,R@kaR
plainte,pl5t
barrage,baRaZ
crapaud,kRapo
délicat,delika
messager,mesaZe
satisfaire,satisfER
spécialement,spesjal°m@
interrogatoire,5tERogatwaR
mélange,mel@Z
recette,R°sEt
infection,5fEksj§
désagréable,dezagReabl
officiel,ofisjEl
paye,pEj
épouvantable,epuv@tabl
barque,baRk
discret,diskRE
laid,lE
signaler,siNale
sublime,syblim
tombeau,t§bo
opportunité,opORtynite
évasion,evazj§
absent,aps@
engagement,@gaZ°m@
profession,pRofEsj§
soi-disant,swadiz@
plafond,plaf§
effrayer,efREje
capacité,kapasite
argent,aRZ@
engin,@Z5
futur,fytyR
saisir,seziR
déconner,dekone
chiffre,SifR
poignard,pwaNaR
horloge,ORlOZ
album,albOm
loyauté,lwajote
plonger,pl§Ze
resto,REsto
document,dokym@
définitivement,definitiv°m@
armé,aRme
audition,odisj§
accomplir,ak§pliR
honorable,onoRabl
ouah,wa
provoquer,pRovoke
racheter,RaS°te
scotch,skOtS
beau-père,bopER
judiciaire,ZydisjER
slip,slip
total,total
nièce,njEs
conviction,k§viksj§
vif,vif
cinquante,s5k@t
découverte,dekuvERt
colonne,kolOn
culot,kylo
gage,gaZ
pourri,puRi
ruine,R8in
sieste,sjEst
valet,valE
serveur,sERv9R
boxe,bOks
moitié,mwatje
économie,ekonomi
proie,pRwa
respiration,REspiRasj§
gym,Zim
social,sosjal
lent,l@
ail,aj
beau-frère,bofRER
cuire,k8iR
soda,soda
flûte,flyt
lis,lis
réunir,ReyniR
dessiner,desine
démarrer,demaRe
us,ys
grille,gRij
intime,5tim
bingo,biGo
renseigner,R@seNe
extrême,EkstREm
chauffer,Sofe
modeste,modEst
armoire,aRmwaR
consulter,k§sylte
expédition,Ekspedisj§
grenier,gR°nje
sacrifier,sakRifje
brute,bRyt
individu,5dividy
mont,m§
rabbin,Rab5
bac,bak
glisser,glise
refus,R°fy
soit,swa
comparer,k§paRe
plante,pl@t
fois,fwa
absolument,apsolym@
habitude,abityd
pouvoir,puvwaR
avocat,avoka
expliquer,Eksplike
quelque,kElk
connaître,konEtR
santé,s@te
clair,klER
impression,5pResj§
quitter,kite
père,pER
les,le
pute,pyt
bouche,buS
village,vilaZ
loi,lwa
autour,otuR
s',s
dame,dam
visite,vizit
enfer,@fER
trop,tRo
dieu,dj2
oublier,ublije
monter,m§te
cheval,S°val
marcher,maRSe
cuisine,k8izin
chez,Se
simplement,s5pl°m@
vue,vy
écrire,ekRiR
bon,b§
aux,o
peau,po
dangereux,d@Z°R2
moi-même,mwamEm
pire,piR
monde,m§d
tenir,t°niR
rencontrer,R@k§tRe
forme,fORm
continuer,k§tin8e
compris,k§pRi
l',l
meurtre,m9RtR
crime,kRim
selon,s°l§
a,a
femme,fam
sûr,syR
sérieux,seRj2
vin,v5
appel,apEl
lieutenant,lj2t°n@
mission,misj§
matelas,mat°la
mallette,malEt
mi,mi
banc,b@
grotte,gROt
stratégie,stRateZi
habituer,abit8e
certitude,sERtityd
délai,delE
jambon,Z@b§
météo,meteo
selle,sEl
gênant,ZEn@
soviétique,sovjetik
