a,a
a capella,akapEla
a cappella,akapEla
a contrario,ak§tRaRjo
a fortiori,afORsjoRi
a giorno,adZjORno
a l'instar,al5staR
a posteriori,apOsteRjoRi
a priori,apRijoRi
aa,aa
ab absurdo,abapsuRdo
ab initio,abinisjo
ab ovo,abovo
abaca,abaka
abaissant,abEs@
abaisse,abEs
abaisse-langue,abEsl@g
abaissement,abEs°m@
abaisser,abese
abaissé,abese
abalone,abalOn
abandon,ab@d§
abandonner,ab@done
abandonnique,ab@donik
abandonné,ab@done
abaque,abak
abasourdi,abazuRdi
abasourdir,abazuRdiR
abasourdissant,abazuRdis@
abat,aba
abat-jour,abaZuR
abat-son,abas§
abatage,abataZ
abatis,abati
abattage,abataZ
abattant,abat@
abattement,abat°m@
abatteur,abat9R
abattis,abati
abattoir,abatwaR
abattre,abatR
abattu,abaty
abbatial,abasjal
abbatiale,abasjal
abbaye,abei
abbé,abe
abc,abese
abcès,apsE
abdication,abdikasj§
abdiquer,abdike
abdomen,abdomEn
abdominal,abdominal
abdos,abdo
abducteur,abdykt9R
abduction,abdyksj§
abeille,abEj
aber,abe
aberrant,abER@
aberration,abERasj§
abhorrer,abORe
abhorré,abORe
abject,abZEkt
abjectement,abZEkt°m@
abjection,abZEksj§
abjuration,abZyRasj§
abjurer,abZyRe
abkhaze,abkaz
ablatif,ablatif
ablation,ablasj§
able,abl
ablette,ablEt
ablution,ablysj§
abnégation,abnegasj§
aboi,abwa
aboiement,abwam@
aboli,aboli
abolir,aboliR
abolition,abolisj§
abolitionniste,abolisjonist
abominable,abominabl
abominablement,abominabl°m@
abomination,abominasj§
abominer,abomine
abondamment,ab§dam@
abondance,ab§d@s
abondant,ab§d@
abonder,ab§de
abonnement,abOn°m@
abonner,abone
abonné,abone
abord,abOR
abordable,abORdabl
abordage,abORdaZ
aborder,abORde
abordé,abORde
aborigène,aboRiZEn
abornement,abORn°m@
abortif,abORtif
aboucher,abuSe
abouler,abule
aboulie,abuli
aboulique,abulik
about,abu
abouti,abuti
aboutir,abutiR
aboutissant,abutis@
aboutissement,abutis°m@
aboyant,abwaj@
aboyer,abwaje
aboyeur,abwaj9R
abracadabra,abRakadabRa
abracadabrant,abRakadabR@
abrasif,abRazif
abrasion,abRazj§
abraxas,abRaksas
abreuvage,abR9vaZ
abreuver,abR9ve
abreuvoir,abR9vwaR
abreuvé,abR9ve
abri,abRi
abri-refuge,abRiR°fyZ
abribus,abRibys
abricot,abRiko
abricotier,abRikotje
abricotine,abRikotin
abritant,abRit@
abriter,abRite
abrité,abRite
abrogation,abRogasj§
abroger,abRoZe
abrogé,abRoZe
abrupt,abRypt
abruptement,abRypt°m@
abruti,abRyti
abrutir,abRytiR
abrutissant,abRytis@
abrutissement,abRytis°m@
abrutisseur,abRytis9R
abréger,abReZe
abrégé,abReZe
abréviatif,abRevjatif
abréviation,abRevjasj§
abscisse,apsis
abscission,apsisj§
abscons,apsk§
absence,aps@s
absent,aps@
absenter,aps@te
absentéisme,aps@teizm
absentéiste,aps@teist
abside,apsid
absidiole,apsidjOl
absinthe,aps5t
absolu,apsoly
absolument,apsolym@
absolution,apsolysj§
absolutisme,apsolytizm
absolvant,apsOlv@
absorbant,apsORb@
absorber,apsORbe
absorbeur,apsORb9R
absorbé,apsORbe
absorption,apsORpsj§
absoudre,apsudR
absous,apsu
absoute,apsut
abstenir,apst°niR
abstention,apst@sj§
abstentionniste,apst@sjonist
abstinence,apstin@s
abstinent,apstin@
abstraction,apstRaksj§
abstraire,apstRER
abstrait,apstRE
abstraitement,apstREt°m@
abstrus,apstRy
absurde,apsyRd
absurdement,apsyRd°m@
absurdité,apsyRdite
abus,aby
abuser,abyze
abuseur,abyz9R
abusif,abyzif
abusivement,abyziv°m@
abusé,abyze
abyme,abim
abyssal,abisal
abysse,abis
abyssin,abis5
abyssinien,abisinj5
abâtardir,abataRdiR
abécédaire,abesedER
abêti,abeti
abêtir,abetiR
abêtissement,abetis°m@
abîme,abim
abîmer,abime
acabit,akabi
acacia,akasja
acadien,akadj5
acadienne,akadjEn
académicien,akademisj5
académie,akademi
académique,akademik
académiquement,akademik°m@
académisme,akademizm
acagnarder,akaNaRde
acajou,akaZu
acanthe,ak@t
acariâtre,akaRjatR
accablant,akabl@
accablement,akabl°m@
accabler,akable
accablé,akable
accalmie,akalmi
accaparant,akapaR@
accaparer,akapaRe
accapareur,akapaR9R
accastillage,akastijaZ
accelerando,akseleRando
accent,aks@
accenteur,aks@t9R
accentuation,aks@t8asj§
accentuer,aks@t8e
accentué,aks@t8e
acceptable,aksEptabl
acceptant,aksEpt@
acceptation,aksEptasj§
accepter,aksEpte
acception,aksEpsj§
accessibilité,aksEsibilite
accessible,aksesibl
accession,aksEsj§
accessit,aksesit
accessoire,akseswaR
accessoirement,akseswaR°m@
accessoiriser,aksEswaRize
accessoiriste,akseswaRist
accident,aksid@
accidentel,aksid@tEl
accidentellement,aksid@tEl°m@
accidenter,aksid@te
accidenté,aksid@te
