label,masse,largeur,hauteur
pomme,192,8.4,7.3
pomme,180,8.0,6.8
pomme,176,7.4,7.2
mandarine,86,6.2,4.7
mandarine,84,6.0,4.6
mandarine,80,5.8,4.3
mandarine,80,5.9 ,4.3
mandarine,76,5.8,4.0
pomme,178,7.1,7.8
pomme,172,7.4,7.0
pomme,166,6.9,7.3
pomme,172,7.1,7.6
pomme,154,7.0,7.1
pomme,164,7.3,7.7
pomme,152,7.6,7.3
pomme,156,7.7,7.1
pomme,156,7.6,7.5
pomme,168,7.5,7.6
pomme,162,7.5,7.1
pomme,162,7.4,7.2
pomme,160,7.5,7.5
pomme,156,7.4,7.4
pomme,140,7.3,7.1
pomme,170,7.6,7.9
orange,342,9.0,9.4
orange,356,9.2,9.2
orange,362,9.6,9.2
orange,204,7.5,9.2
orange,140,6.7,7.1
orange,160,7.0,7.4
orange,158,7.1,7.5
orange,210,7.8,8.0
orange,164,7.2,7.0
orange,190,7.5,8.1
orange,142,7.6,7.8
orange,150,7.1,7.9
orange,160,7.1,7.6
orange,154,7.3,7.3
orange,158,7.2,7.8
orange,144,6.8,7.4
orange,154,7.1,7.5
orange,180,7.6,8.2
orange,154,7.2,7.2
citron,194,7.2,10.3
citron,200,7.3,10.5
citron,186,7.2,9.2
citron,216,7.3,10.2
citron,196,7.3,9.7
citron,174,7.3,10.1
citron,132,5.8,8.7
citron,130,6.0,8.2
citron,116,6.0,7.5
citron,118,5.9,8.0
citron,120,6.0,8.4
citron,116,6.1,8.5
citron,116,6.3,7.7
citron,116,5.9,8.1
citron,152,6.5,8.5
citron,118,6.1,8.1
